Index Refs Address            Size       Wired      Name (Version) UUID <Linked Against>
  111    0 0xffffff8004053000 0xfa8000   0xfa8000   com.zxystd.AirportItlwm (2.3.0) BEB9788E-D601-3C37-B6BA-1C8E5DAFA3BE <110 109 55 53 18 7 6 3 1>
  112    0 0xffffff8001e0a000 0x3000     0x3000     com.apple.driver.AppleXsanScheme (3) F627D7B2-E321-3D84-B5C4-186781A483AA <29 7 6 3 1>
  113    1 0xffffff8002bf8000 0x3ffb     0x3ffb     com.apple.driver.usb.AppleUSBHostCompositeDevice (1.2) A2116552-E837-3AD8-BC08-DCA2EDDC63EE <38 36 8 7 6 3 1>
  114    2 0xffffff8001dba000 0x2000     0x2000     com.apple.driver.usb.networking (5.0.0) 5DDB0F1B-3AB6-319B-AC6D-5610CDDB7BCB <38 8 7 6 3 1>
  115    1 0xffffff8001d78000 0x1fff     0x1fff     com.apple.driver.usb.cdc (5.0.0) 0458F7CA-66B2-3762-AB09-276BFC16C65F <114 113 38 7 6 3 1>
  116    0 0xffffff8005bdb000 0x3b000    0x3b000    com.alexandred.VoodooI2CHID (1) 53CC9B92-646F-351F-AFEA-918BBD3EBF8B <104 77 17 7 6 3>
  117    0 0xffffff8005005000 0xaf8000   0xaf8000   com.zxystd.IntelBluetoothFirmware (2.5.0) EA4755DF-A909-35AF-B952-6994467464F4 <38 7 6 3>
  118    0 0xffffff8005b95000 0x1b000    0x1b000    me.kishorprins.VoodooInput (1.1.4) 89BFE4A2-0D9F-3DCB-B91E-7B3620E014D7 <77 7 6 3>
  119    1 0xffffff80023b0000 0x14ff9    0x14ff9    com.apple.driver.IOBluetoothHIDDriver (9.0.0) BAF44ADE-6D95-393C-B1A7-AD8E5BEB8252 <77 50 7 6 3>
  120    1 0xffffff8001d5c000 0x6ff4     0x6ff4     com.apple.driver.AppleHSBluetoothDriver (7440.8.2) 5207BF88-B267-3DF8-8DC0-14A16F5841D0 <119 77 50 8 7 6 3 1>
  121    2 0xffffff8001967000 0xfffd     0xfffd     com.apple.driver.AppleInputDeviceSupport (7440.1) D29588F3-176D-3F21-82AA-C2ED5AF91475 <23 21 7 6 3 1>
  122    2 0xffffff8001aeb000 0x15ff9    0x15ff9    com.apple.driver.AppleMultitouchDriver (7440.11) CEA82534-E6B8-3A86-896D-45D497CD1934 <121 77 49 9 8 7 6 3 1>
  123    0 0xffffff8001d67000 0x8ff3     0x8ff3     com.apple.driver.AppleTopCaseHIDEventDriver (7440.8.2) C8B89A83-80D7-3804-96FF-BD053504E553 <122 120 77 8 7 6 3 1>
  124    0 0xffffff800146e000 0x7ffb     0x7ffb     com.apple.driver.AppleActuatorDriver (7440.11) C3A0C800-6F84-3E18-AC70-1FD5F69CFD87 <122 121 77 49 9 8 7 6 3 1>
  125    1 0xffffff8002845000 0x7000     0x7000     com.apple.iokit.IOSerialFamily (11) A3E94605-D31C-3252-8155-CE5491CC03AE <9 8 7 6 3 1>
  126    0 0xffffff7f957f1000 0x6000     0x6000     com.apple.driver.driverkit.serial (6.0.0) BC286628-554C-312F-9E15-3D21943F0BF6 <125 7 6 3 1>
  128    4 0xffffff7f9569c000 0x3ffd     0x3ffd     com.apple.driver.IOPlatformPluginFamily (6.0.0d8) 794E588D-173C-3B13-8B9F-56FEEECFA72C <17 9 8 7 6 3>
  129    1 0xffffff7f956c9000 0x12ffa    0x12ffa    com.apple.driver.X86PlatformPlugin (1.0.0) 90429AC0-3B32-3F1F-8D25-D57DCBE58049 <128 38 19 17 9 8 7 6 3 1>
  133    1 0xffffff800289c000 0x2ff5     0x2ff5     com.apple.iokit.IOSlowAdaptiveClockingFamily (1.0.0) E9B2A610-2B2A-35FA-9134-46B24D967530 <9 8 7 6 3 1>
  134    0 0xffffff7f951fb000 0xfff      0xfff      com.apple.driver.AppleIntelSlowAdaptiveClocking (4.0.0) F1C609DC-0407-3D83-A000-45CFD02084D1 <133 6 3>
  135   12 0xffffff7f95639000 0x2effa    0x2effa    com.apple.iokit.IOGraphicsFamily (598) 79F2F7E4-E451-35E1-BF22-1EFFA4192888 <18 9 7 6 3 1>
  136    3 0xffffff7f94ad0000 0x4000     0x4000     com.apple.AppleGraphicsDeviceControl (8.1.9) 84CB0373-54F5-3BDF-A76B-6A9538BE7A90 <135 18 9 8 7 6 3 1>
  137    0 0xffffff7f94ac5000 0x6ff4     0x6ff4     com.apple.AppleGPUWrangler (8.1.9) 8451C6C1-C429-355A-8992-C7C15C00567C <136 135 18 9 8 7 6 3 1>
  139    0 0xffffff7f95303000 0x3000     0x3000     com.apple.driver.AppleUIO (1) 509A1191-0132-3BFF-97C1-5D7F42141ED1 <18 8 7 6 3 1>
  141    0 0xffffff7f94d35000 0x13ff4    0x13ff4    com.apple.driver.AppleHV (1) 27B82193-F50A-3E41-A444-9D53B37FA3A6 <46 9 8 7 6 3 1>
  142    0 0xffffff7f94d4d000 0x5000     0x5000     com.apple.driver.AppleIPAppender (1.0) 4B703CD3-2587-3F49-BD11-6069A2F127C0 <55 53 9 8 7 6 3 1>
